owner,name,status,license_path,license_name,download_url,saved_path,detail
topgrade-rs,topgrade,saved,LICENSE,GNU General Public License v3.0,https://raw.githubusercontent.com/topgrade-rs/topgrade/main/LICENSE,/home/alex/code/machineconfig/.ai/repos/topgrade/LICENSE,
tsl0922,ttyd,saved,LICENSE,MIT License,https://raw.githubusercontent.com/tsl0922/ttyd/main/LICENSE,/home/alex/code/machineconfig/.ai/repos/ttyd/LICENSE,
owenthereal,upterm,saved,LICENSE,Apache License 2.0,https://raw.githubusercontent.com/owenthereal/upterm/master/LICENSE,/home/alex/code/machineconfig/.ai/repos/upterm/LICENSE,
atanunq,viu,saved,LICENSE-MIT,MIT License,https://raw.githubusercontent.com/atanunq/viu/master/LICENSE-MIT,/home/alex/code/machineconfig/.ai/repos/viu/LICENSE-MIT,
watchexec,watchexec,saved,LICENSE,Apache License 2.0,https://raw.githubusercontent.com/watchexec/watchexec/main/LICENSE,/home/alex/code/machineconfig/.ai/repos/watchexec/LICENSE,
ajeetdsouza,zoxide,saved,LICENSE,MIT License,https://raw.githubusercontent.com/ajeetdsouza/zoxide/main/LICENSE,/home/alex/code/machineconfig/.ai/repos/zoxide/LICENSE,
sudipghimire533,ytui-music,saved,LICENSE.txt,GNU General Public License v2.0,https://raw.githubusercontent.com/sudipghimire533/ytui-music/main/LICENSE.txt,/home/alex/code/machineconfig/.ai/repos/ytui-music/LICENSE.txt,
Siriusmart,youtube-tui,saved,LICENSE,GNU General Public License v3.0,https://raw.githubusercontent.com/Siriusmart/youtube-tui/master/LICENSE,/home/alex/code/machineconfig/.ai/repos/youtube-tui/LICENSE,
tramhao,termusic,saved,LICENSE_GPLv3,GNU General Public License v3.0,https://raw.githubusercontent.com/tramhao/termusic/master/LICENSE_GPLv3,/home/alex/code/machineconfig/.ai/repos/termusic/LICENSE_GPLv3,
TrevorSatori,kronos,saved,LICENSE,GNU General Public License v3.0,https://raw.githubusercontent.com/TrevorSatori/kronos/main/LICENSE,/home/alex/code/machineconfig/.ai/repos/kronos/LICENSE,
transmission,transmission,license_not_found,,Other,,,no_root_license_match
jarun,nnn,saved,LICENSE,"BSD 2-Clause ""Simplified"" License",https://raw.githubusercontent.com/jarun/nnn/master/LICENSE,/home/alex/code/machineconfig/.ai/repos/nnn/LICENSE,
ogham,exa,saved,LICENCE,MIT License,https://raw.githubusercontent.com/ogham/exa/master/LICENCE,/home/alex/code/machineconfig/.ai/repos/exa/LICENCE,
koute,bytehound,saved,LICENSE,Other,https://raw.githubusercontent.com/koute/bytehound/master/LICENSE,/home/alex/code/machineconfig/.ai/repos/bytehound/LICENSE,
atuinsh,atuin,saved,LICENSE,MIT License,https://raw.githubusercontent.com/atuinsh/atuin/main/LICENSE,/home/alex/code/machineconfig/.ai/repos/atuin/LICENSE,
browsh-org,browsh,saved,LICENSE,GNU Lesser General Public License v2.1,https://raw.githubusercontent.com/browsh-org/browsh/master/LICENSE,/home/alex/code/machineconfig/.ai/repos/browsh/LICENSE,
fathyb,carbonyl,saved,license.md,"BSD 3-Clause ""New"" or ""Revised"" License",https://raw.githubusercontent.com/fathyb/carbonyl/main/license.md,/home/alex/code/machineconfig/.ai/repos/carbonyl/license.md,
jaspervdj,patat,saved,LICENSE,GNU General Public License v2.0,https://raw.githubusercontent.com/jaspervdj/patat/main/LICENSE,/home/alex/code/machineconfig/.ai/repos/patat/LICENSE,
sqlitebrowser,sqlitebrowser,saved,LICENSE,Other,https://raw.githubusercontent.com/sqlitebrowser/sqlitebrowser/master/LICENSE,/home/alex/code/machineconfig/.ai/repos/sqlitebrowser/LICENSE,
dbeaver,dbeaver,saved,LICENSE.md,Apache License 2.0,https://raw.githubusercontent.com/dbeaver/dbeaver/devel/LICENSE.md,/home/alex/code/machineconfig/.ai/repos/dbeaver/LICENSE.md,
sosedoff,pgweb,saved,LICENSE,MIT License,https://raw.githubusercontent.com/sosedoff/pgweb/main/LICENSE,/home/alex/code/machineconfig/.ai/repos/pgweb/LICENSE,
dbgate,dbgate,saved,LICENSE,GNU General Public License v3.0,https://raw.githubusercontent.com/dbgate/dbgate/master/LICENSE,/home/alex/code/machineconfig/.ai/repos/dbgate/LICENSE,
